"Notes"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Asthma, unspecified"	"J45.9"	61	1520064	4.0
	"2000"	"2000"	"Asthma, unspecified"	"J45.9"	73	1517550	4.8
	"2001"	"2001"	"Asthma, unspecified"	"J45.9"	69	1505455	4.6
	"2002"	"2002"	"Asthma, unspecified"	"J45.9"	76	1498493	5.1
	"2003"	"2003"	"Asthma, unspecified"	"J45.9"	87	1493802	5.8
	"2004"	"2004"	"Asthma, unspecified"	"J45.9"	55	1492882	3.7
	"2005"	"2005"	"Asthma, unspecified"	"J45.9"	55	1490861	3.7
	"2006"	"2006"	"Asthma, unspecified"	"J45.9"	62	1488710	4.2
	"2007"	"2007"	"Asthma, unspecified"	"J45.9"	58	1493309	3.9
	"2008"	"2008"	"Asthma, unspecified"	"J45.9"	82	1499731	5.5
	"2009"	"2009"	"Asthma, unspecified"	"J45.9"	66	1514694	4.4
	"2010"	"2010"	"Asthma, unspecified"	"J45.9"	53	1526006	3.5
	"2011"	"2011"	"Asthma, unspecified"	"J45.9"	68	1536471	4.4
	"2012"	"2012"	"Asthma, unspecified"	"J45.9"	61	1547607	3.9
	"2013"	"2013"	"Asthma, unspecified"	"J45.9"	59	1553165	3.8
	"2014"	"2014"	"Asthma, unspecified"	"J45.9"	63	1560297	4.0
	"2015"	"2015"	"Asthma, unspecified"	"J45.9"	69	1567442	4.4
	"2016"	"2016"	"Asthma, unspecified"	"J45.9"	44	1567872	2.8
	"2017"	"2017"	"Asthma, unspecified"	"J45.9"	52	1580863	3.3
	"2018"	"2018"	"Asthma, unspecified"	"J45.9"	48	1584138	3.0
	"2019"	"2019"	"Asthma, unspecified"	"J45.9"	63	1584064	4.0
	"2020 "	"2020"	"Asthma, unspecified"	"J45.9"	104	1578487	6.6
