"Notes"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	3699	1520064	243.3
	"2000"	"2000"	3670	1517550	241.8
	"2001"	"2001"	3448	1505455	229.0
	"2002"	"2002"	3415	1498493	227.9
	"2003"	"2003"	3255	1493802	217.9
	"2004"	"2004"	3218	1492882	215.6
	"2005"	"2005"	3071	1490861	206.0
	"2006"	"2006"	2938	1488710	197.4
	"2007"	"2007"	2920	1493309	195.5
	"2008"	"2008"	2798	1499731	186.6
	"2009"	"2009"	2837	1514694	187.3
	"2010"	"2010"	2488	1526006	163.0
	"2011"	"2011"	2707	1536471	176.2
	"2012"	"2012"	2686	1547607	173.6
	"2013"	"2013"	2647	1553165	170.4
	"2014"	"2014"	2543	1560297	163.0
	"2015"	"2015"	2681	1567442	171.0
	"2016"	"2016"	2567	1567872	163.7
	"2017"	"2017"	2303	1580863	145.7
	"2018"	"2018"	2277	1584138	143.7
	"2019"	"2019"	2206	1584064	139.3
	"2020 "	"2020"	3439	1578487	217.9
