,Year,smoke_metric,Deaths per million,smoke_metric_lag1
0,2000,36.65338490699021,48.10385160291259,57.7007025039779
1,2001,42.687382461310335,45.833319494770684,36.65338490699021
2,2002,25.347044880749632,50.717620969867724,42.687382461310335
3,2003,10.32285744331704,58.240650367317755,25.347044880749632
4,2004,18.32114033560181,36.84149182587773,10.32285744331704
5,2005,17.907898262913932,36.8914338761293,18.32114033560181
6,2006,19.18424286825268,41.646794876100785,17.907898262913932
7,2007,41.461169045057865,38.83991859688785,19.18424286825268
8,2008,29.75138834630526,54.676471980641864,41.461169045057865
9,2009,15.696519457605635,43.57315735059358,29.75138834630526
10,2010,22.063154289553168,34.73118716440171,15.696519457605635
11,2011,36.41238592585454,44.257262258773515,22.063154289553168
12,2012,27.41250699932871,39.415691451382685,36.41238592585454
13,2013,6.74071944133651,37.986949229476586,27.41250699932871
14,2014,11.069489133338209,40.37692823866225,6.74071944133651
15,2015,11.059303539035502,44.020767594590424,11.069489133338209
